HSC1_1	HSC1_13	HSC1_14	HSC1_2	HSC1_3	HSC1_4	HSC1_6	HSC1_7	HSC1_8	HSC1_9	HSC3_10	HSC3_12	HSC3_13	HSC3_14	CMP_4	CMP_5	CMP_6	CMP_7	MEP_1	MEP_2	MEP_3	MEP_4	MEP_5	MEP_6	MEP_7	MEP_8	MEP_9	ERY1_3	ERY1_4	ERY1_5	ERY1_6	ERY1_7	ERY1_8	ERY1_9	ERY2_3	ERY2_4	ERY2_5	ERY2_6	ERY2_7	ERY2_8	ERY2_9	ERY3_3	ERY3_4	ERY3_5	ERY3_6	ERY3_7	ERY3_8	ERY4_3	ERY4_4	ERY4_5	ERY4_6	ERY4_7	ERY4_8	ERY4_9	ERY5_3	ERY5_5	ERY5_6	ERY5_7	ERY5_8	ERY5_9	MEGA1_2	MEGA1_3	MEGA1_4	MEGA1_5	MEGA1_6	MEGA1_7	MEGA2_2	MEGA2_3	MEGA2_4	MEGA2_5	MEGA2_6	MEGA2_7	GMP_4	GMP_5	GMP_7	GMP_9	GRAN1_2	GRAN1_3	GRAN1_4	GRAN1_5	GRAN1_6	GRAN2_2	GRAN2_4	GRAN2_5	GRAN2_6	GRAN3_3	GRAN3_4	GRAN3_5	GRAN3_6	MONO1_1	MONO1_2	MONO1_3	MONO1_4	MONO2_1	MONO2_2	MONO2_3	MONO2_4	MONO2_5	EOS2_1	EOS2_2	EOS2_3	EOS2_4	EOS2_5	BASO1_3	BASO1_4	BASO1_5	BASO1_6	BASO1_7	BASO1_8	DENDA2_1	DENDA2_2	DENDA2_3	DENDA2_4	DENDA2_5	DENDA1_1	DENDA1_2	DENDA1_3	DENDA1_4	DENDA1_5	PREBCELL2_1	PREBCELL2_3	PREBCELL2_4	PREBCELL2_6	PREBCELL3_1	PREBCELL3_3	PREBCELL3_4	PREBCELL3_5	PREBCELL3_6	BCELLA1_1	BCELLA1_2	BCELLA1_3	BCELLA1_4	BCELLA1_5	BCELLA2_1	BCELLA2_2	BCELLA2_3	BCELLA2_4	BCELLA2_5	BCELLA3_1	BCELLA3_2	BCELLA3_3	BCELLA3_4	BCELLA3_5	BCELLA4_1	BCELLA4_2	BCELLA4_3	BCELLA4_4	BCELLA4_5	NKA1_1	NKA1_2	NKA1_4	NKA1_5	NKA2_1	NKA2_2	NKA2_3	NKA2_4	NKA2_5	NKA3_1	NKA3_2	NKA3_3	NKA3_4	NKA3_5	NKA4_2	NKA4_3	NKA4_4	NKA4_5	TCELLA1_11	TCELLA1_5	TCELLA1_6	TCELLA1_7	TCELLA2_10	TCELLA2_11	TCELLA2_3	TCELLA2_5	TCELLA2_6	TCELLA2_7	TCELLA2_8	TCELLA3_11	TCELLA3_3	TCELLA3_5	TCELLA3_6	TCELLA3_7	TCELLA3_8	TCELLA4_10	TCELLA4_11	TCELLA4_3	TCELLA4_5	TCELLA4_6	TCELLA4_7	TCELLA4_8	TCELLA6_10	TCELLA6_11	TCELLA6_3	TCELLA6_5	TCELLA6_6	TCELLA6_7	TCELLA6_8	TCELLA7_10	TCELLA7_11	TCELLA7_3	TCELLA7_5	TCELLA7_6	TCELLA7_7	TCELLA7_8	TCELLA8_10	TCELLA8_11	TCELLA8_3	TCELLA8_5	TCELLA8_6	TCELLA8_7	TCELLA8_8
ADAM28	2.30094	1.26464	0.80034	2.20784	1.40624	1.27234	2.30194	2.23934	2.23504	0.98864	1.37174	2.00224	1.55664	3.00894	1.00554	1.61334	0.02444	-0.43426	1.42134	0.43544	0.69074	1.42604	1.08284	0.00124	0.40634	0.28214	-0.21956	0.27854	0.26024	1.53494	-0.15076	1.14304	0.65174	0.29894	-1.10156	-1.12366	0.35774	-0.17586	-0.48706	-0.94876	-1.52846	-1.73616	-1.49116	-1.84716	-1.68186	-1.48516	-2.04606	-1.64356	-1.99736	-0.33156	-1.62426	0.30874	-0.74596	-2.09276	-1.70336	-1.27606	-1.12796	-0.87526	-1.45936	-1.60416	-0.99556	-0.32086	-0.30566	0.32994	0.45014	-0.40526	-0.35996	-1.65436	-0.22656	-0.53696	0.13914	-0.10006	2.41664	0.92974	-0.56036	0.22234	0.34864	2.68944	-0.03376	2.13764	0.46124	0.28174	-0.78176	-0.25196	-0.50096	-1.00076	-1.32656	-0.71216	-1.14026	0.35604	2.54064	-0.21516	-0.32856	-0.23296	-0.52246	-0.48906	-0.52326	-0.53556	0.27684	1.52704	1.07314	0.38394	-0.00456	1.07964	1.12344	0.70614	1.54674	0.47594	1.75534	2.67404	0.89624	0.67304	1.18724	1.62044	0.11064	-0.79276	-0.45866	-0.24056	0.51274	-1.37526	-0.64706	-0.19516	-0.06086	-0.72876	-0.66006	1.33474	0.11064	-0.26296	2.73404	2.70804	6.16674	3.14344	3.92524	2.58184	2.36494	3.44894	3.96874	2.80404	5.11474	4.64334	2.81084	3.92344	2.74314	2.58774	3.23714	2.44514	2.75504	2.41224	-1.15976	-1.44196	-1.88556	-0.37416	-0.29096	-0.16316	-0.21576	-0.41296	-0.88896	0.29784	-0.43276	0.52874	-0.05986	0.31574	-0.27156	-1.21076	-1.02966	-0.72626	-0.89666	-0.03546	-2.01616	-1.76366	-1.80946	-1.57256	-1.97996	-2.10756	-1.92876	-1.70076	-1.70146	-0.81186	-1.95356	-1.90716	-2.18526	-2.06786	-0.99586	-1.08246	-1.17406	-2.04716	-1.94296	-1.89906	-2.27676	-1.02906	-1.48056	-1.23336	-2.09356	-2.24626	-1.67506	-2.24076	-1.83896	-1.03526	-0.84366	-2.20596	-1.61716	-2.11726	-1.74206	-1.88856	-1.70096	-1.10146	-2.16266	-1.64366	-1.83106	-1.89266	-1.74566
PRDM4	-0.10705	0.12585	-0.24235	-0.40175	-0.21995	-0.61375	0.53335	0.15605	0.24625	-0.22235	0.03465	0.19815	0.43325	0.93255	-0.45665	1.13845	-1.95355	-0.75285	-0.04895	-0.44595	0.03795	0.58085	-0.93565	-1.04725	-0.48895	-0.39345	-0.64505	0.66755	-1.09705	-0.00525	-1.56175	-0.63465	-0.21145	0.39405	-1.41405	-0.00055	-0.43015	-0.38715	0.17915	0.22235	0.25225	-0.68865	-1.32355	-1.45505	-1.97545	-1.39315	-1.04485	-0.64615	-1.20925	-1.79865	-1.61415	-0.23415	-1.68365	-5e-05	-0.68045	-1.48595	-1.15265	-1.77905	-1.56155	-0.79545	-0.47885	-0.88765	-0.36965	0.34685	-0.12965	-1.11885	-1.47605	-1.01725	0.17035	-0.88895	-0.09805	-1.72655	-1.06985	-0.64055	-0.54725	-0.15075	0.37205	1.37435	-0.40205	1.09705	-0.17145	0.34685	-0.72135	-0.13175	0.14455	-0.00905	-0.11185	0.03665	-0.40675	-0.93205	0.11925	-1.21285	-0.37815	0.11895	0.52215	0.50005	-0.68545	-0.53225	-1.15535	0.49765	0.03495	-1.31505	-0.34805	-0.50385	-0.71935	-0.97735	-0.55395	0.29695	1.13205	0.40585	-0.51615	-0.49085	-0.68245	-0.21785	-0.28155	-1.14945	-1.72015	-0.69445	-1.01985	-1.08585	-1.65625	-1.50485	-0.82015	0.96505	-0.91945	1.64215	-0.92535	-0.50605	1.22415	1.63025	2.60225	2.18035	2.60845	1.20335	1.40605	1.64185	2.39775	1.19055	2.64025	2.35785	1.13155	2.66695	1.50355	1.85485	2.75755	1.60625	2.64105	1.66635	0.14355	0.31655	0.18315	-0.63885	0.30015	0.13865	1.06335	0.30785	0.40785	0.00635	-0.28505	-0.52875	-0.01925	-0.33335	0.14335	0.73145	0.22015	-0.91895	-0.77935	-0.06655	2.02985	0.77975	0.15575	0.27285	0.38645	0.66235	0.65885	0.77465	0.79735	0.09695	0.00675	0.48125	0.68845	0.39035	-0.06315	-0.43965	-0.52665	0.54725	0.34325	0.08355	1.11145	-0.88825	0.34125	-0.11385	0.54025	-0.09275	-0.20715	0.48975	0.82935	0.21525	-0.63375	0.71025	0.87775	0.66475	0.80155	1.11105	0.32105	-0.84205	0.87715	1.04485	0.90515	0.77875	0.77045
GGA2	-0.06054	-0.13954	-0.67954	-0.22534	-0.29144	-0.76354	-0.29424	-0.34084	-0.19114	-0.43784	-0.20774	-0.20244	-0.25494	-0.24994	-0.83774	-0.78254	-1.58674	-0.40084	-0.03284	-0.45224	-0.48284	-0.54734	-1.00064	-0.76554	-0.76834	-0.85304	-0.47704	-0.07224	-0.83024	-0.24254	-0.57274	-0.31574	-0.25904	-0.28874	0.45736	-0.11164	-0.16154	-0.19324	0.16016	0.36106	0.39526	0.28986	-0.94804	-0.23624	-1.24644	-0.16364	0.00716	-0.72124	-0.77214	-1.42884	-0.25154	-0.55324	-0.72664	0.15986	-0.01494	-0.91964	-0.51504	-0.79774	-0.24884	-0.21474	-0.77214	-0.46324	-0.13484	-0.13004	-0.67274	-0.86254	-1.13014	-0.48744	-0.24884	-0.65954	-0.50154	-1.18194	0.78786	-0.14294	-0.63464	-0.80134	0.67396	1.58156	0.08666	1.41156	0.47926	0.57216	-0.22954	-0.19034	-0.14884	-0.49664	0.12236	0.26966	-0.25064	-0.23734	0.28096	-0.64034	-0.69954	0.07356	0.18426	0.21356	-0.10104	-0.44114	-0.07944	0.73156	1.06176	0.29516	-0.08944	0.20066	0.32286	-0.15124	0.29906	0.41806	0.81886	0.32976	-0.12364	-0.19514	-0.38564	-0.52114	1.18476	0.32156	-0.01944	0.83606	-0.49664	-0.53264	-0.54024	-0.99404	-0.47224	-0.17804	0.30796	0.01226	-0.57424	-0.04914	1.19066	1.27516	2.41456	1.46866	1.90986	1.43686	1.22816	1.83856	1.95946	1.46106	1.91276	1.87606	1.21156	1.80316	1.19836	1.12026	1.08806	1.27226	1.24076	1.02966	-0.28714	-0.19504	-0.14614	-0.89344	-0.43214	-0.34754	0.37736	-0.27994	-0.20874	-0.76834	-0.60364	-0.54304	0.01666	-0.91724	-0.97204	0.17416	-0.20364	-1.00934	-0.54664	0.33916	0.47756	0.39126	0.05816	-0.00734	0.16526	0.36576	-0.06634	0.10796	0.38266	-0.16164	-0.22344	0.46336	-0.00404	0.48176	-0.32734	-0.10314	-0.19584	0.27226	0.70216	0.49726	0.97486	-0.53624	-0.00964	-0.04214	0.14816	-0.16124	0.13636	-0.06044	0.22676	-0.23444	-0.36624	-0.02814	0.13396	0.62036	0.19846	0.26856	0.23586	-0.32514	0.47656	0.24996	-0.01624	0.13806	0.29216
NGLY1	0.11539	-0.03941	-0.33551	0.11849	0.01469	-0.37441	0.29399	0.51279	0.19019	0.02389	0.22709	0.28159	-0.44851	-0.11441	-0.33601	-0.09401	-0.22411	-0.19771	0.05619	-0.31191	0.20839	0.32109	-0.61141	-0.27141	-0.28201	-0.26421	-0.30151	-0.08151	-0.94561	0.41919	-0.22991	-0.43201	-0.02341	-0.32581	-2.16621	0.20519	-0.39241	-0.30371	-0.07471	0.26739	0.05079	-1.45431	-2.05471	-1.12471	-1.87121	-1.23231	-0.39781	-1.32821	-1.31891	-1.84621	-1.22031	-1.04831	-1.24301	-0.72851	-0.65751	-2.12521	-0.97151	-2.04851	-0.36501	-0.72481	-0.47801	-0.54841	0.11789	-0.31061	-0.80461	-0.45641	-1.17301	0.18679	0.21099	-0.53901	-0.00981	-1.59131	-0.25371	0.15329	-0.67601	-0.60741	0.21589	0.26639	0.10649	0.81489	0.02979	0.50349	-0.29521	-0.45391	-0.62121	-0.25141	-0.50691	-0.91641	-0.22161	-0.19041	0.00139	-1.17671	-1.19511	-0.22381	-0.46521	-0.29311	-0.62151	-0.48061	-0.36601	0.69129	0.40069	0.33859	0.11039	-0.02821	0.07979	-0.56091	-0.21811	0.09569	0.29019	0.76969	-0.09641	-0.41691	-0.44681	-0.42651	1.22669	0.15689	-0.68621	0.71219	-0.48311	0.61159	-0.14661	-1.04311	-0.87481	0.61259	0.61939	-0.60291	-0.96551	-0.48941	1.51369	1.04139	2.45329	1.20579	1.61759	1.44889	1.26689	2.04309	1.84359	0.96439	1.67319	1.54329	1.13229	1.15989	1.04209	0.99179	1.37809	0.71439	1.10759	1.20749	-0.53791	-0.56731	0.02849	-0.93141	0.41689	0.46449	0.58779	0.51299	0.11899	0.50589	0.24729	-0.31261	0.70189	-0.26111	-0.93761	-0.27431	-0.00721	-0.70901	-0.25391	0.68289	0.28569	0.23279	0.55469	0.27599	0.55119	0.85079	0.39449	0.47619	0.70079	0.15909	-0.11231	0.19829	0.48169	0.16759	-0.33001	0.23359	-0.32861	0.82349	0.31199	0.32999	1.29889	-0.84801	0.43489	0.60789	0.35969	0.54869	0.52549	0.64369	0.63859	0.25569	-0.20771	0.29989	0.35999	0.69259	0.44999	0.68149	0.77839	-0.12571	0.93459	0.49499	0.19999	0.80159	0.62049
RALGPS2	0.26001	-0.53689	-0.48989	-0.84879	-0.97789	-0.66859	-0.66289	0.16181	-0.87059	-0.38959	-0.66849	-0.43709	-0.69979	-0.45319	-0.49369	-0.82569	-1.02089	-0.98399	-0.53979	-1.05919	-0.53489	-0.21469	-1.16519	-0.70289	-0.64709	-1.07079	-0.42749	-0.47689	-0.67229	-0.64149	-0.40089	-0.49779	-0.76629	-0.50319	-0.65849	-0.32359	-0.17249	-0.57839	-0.58099	-0.67349	0.11091	-1.19879	-0.19219	-1.05579	-0.74009	-0.64429	-0.83789	-0.32059	-0.05589	-0.53369	-0.48539	-1.13029	-0.76349	-0.07199	-0.54659	-0.59539	-1.08929	-0.19879	0.50241	-0.25649	-0.19859	-0.49119	-0.19219	-1.00899	-0.33189	0.12861	-1.13349	-0.29699	-0.35159	-0.53859	-0.89899	-0.54219	-0.74149	-0.86699	-0.92199	-0.80859	1.20991	2.14311	0.32111	3.04681	0.92581	1.41121	-0.76679	-0.37199	-0.38629	-0.68839	0.11231	-0.64599	-0.66689	-0.83419	-0.75219	-1.52889	-0.65869	-0.96679	-1.10539	-0.98519	-0.23279	-0.67619	1.01181	0.90291	2.38081	-0.36659	-0.67239	1.34251	2.04031	2.24821	1.19171	-0.01169	1.90581	-0.52309	-0.98999	-0.83619	-0.91559	-0.93969	-0.95739	-1.16069	-0.69359	-0.71289	-0.35999	-0.71799	-0.35399	-0.60879	0.96881	-0.53399	0.32161	0.22821	-0.34369	0.50851	2.73511	2.40271	4.78811	2.60151	4.09481	3.22861	3.13531	4.88361	3.86751	2.49081	4.56441	3.72331	2.48491	3.91161	1.08951	3.04611	3.93601	2.73221	1.97541	2.09211	-0.69859	-1.00009	-0.00259	-0.67079	-0.69269	-0.57749	-0.30329	-0.21649	-1.02689	-0.08269	-0.46049	-0.13899	1.14921	-0.46209	-0.62969	-0.26319	-0.88669	-0.53619	-0.69109	0.95191	-0.53249	-0.80469	0.03251	-0.70449	-0.50169	0.00781	-0.06489	0.47091	0.37251	-0.37019	-0.91889	-0.19179	-0.75569	-0.79799	-0.72519	-0.07199	-0.44859	-0.01269	-0.66819	-0.43829	-1.04489	-0.50719	-0.23599	-0.42769	-0.41839	0.03791	-0.44219	-0.48439	0.30521	0.18581	-0.30559	-0.95489	-0.49489	-0.36289	-0.48629	-0.43519	-0.10389	-0.41409	-0.22289	-0.00209	-0.50669	0.11381	-0.25669
SOX5	-0.14046	-0.50476	-0.50756	0.17854	-0.35676	0.16034	0.98834	-0.07766	0.03084	-0.31356	-0.37986	-0.27506	-0.44656	0.69754	-0.17456	0.00944	-0.81176	-0.38516	-0.46346	-0.19686	-0.65936	-0.42866	-0.79856	-0.53126	-0.68956	-0.80866	-0.04086	-0.83196	0.56274	-0.40456	0.09724	-0.69716	-0.34016	-0.98736	0.26984	-0.24406	-0.59606	-0.70626	-0.54456	-0.72216	0.12134	-0.49076	0.09464	0.02634	-0.56566	0.02904	-0.24236	0.06474	-0.20906	-0.46986	-0.15266	-0.82326	-0.26556	-0.58866	0.50714	-0.07006	-0.19326	0.13234	0.06244	-0.15556	0.38134	0.36304	-0.18906	-0.37756	-0.32006	-0.10406	-0.37626	0.03254	-0.03886	-0.55056	-0.72756	-0.90946	-0.35066	-0.27986	-0.59986	-0.66286	-0.05046	0.46674	-0.33006	1.01234	0.11814	0.24594	-0.41506	-0.54266	-0.50916	-0.45976	-0.44866	-0.46786	-0.59006	0.00044	-0.52346	-0.97446	-0.87466	-0.63866	-0.78876	-0.65206	-0.72506	-0.43346	1.02574	1.12394	1.18834	0.08604	0.06554	1.28104	0.68364	0.75864	0.49804	1.13634	1.00204	-0.64716	-0.76336	-0.80986	-0.63866	-0.80476	1.11224	-0.62676	-0.26796	0.35224	-0.40546	1.54964	0.22654	-0.72146	-0.23876	0.39864	0.87924	1.51564	-0.32026	-0.03726	1.02934	1.13494	2.93204	0.73884	2.75604	2.54034	2.57504	3.88164	3.62134	2.50544	3.23364	3.97154	2.50644	3.37564	2.26714	1.68164	2.57504	1.25014	1.31594	2.00534	-0.75426	-0.52686	-0.63066	-0.57186	-0.81166	-0.81436	-0.69226	-0.80236	-0.88306	-0.80286	-0.73076	-0.68236	0.38314	-0.67626	-0.29676	-0.53736	-0.26446	-0.11936	-0.13426	-0.09266	-0.30986	-0.42276	-0.25146	-0.43276	-0.33616	-0.56206	-0.35276	-0.61506	-0.70706	-0.45926	-0.57906	-0.40606	-0.69096	-0.76576	-0.53406	-0.31456	-0.37526	-0.57776	-0.14506	-0.32666	-0.33546	-0.48236	0.20544	-0.41236	-0.46466	-0.62346	-0.21236	-0.67596	-0.72446	-0.64066	-0.00836	-0.70366	-0.52776	-0.20426	-0.35066	-0.71176	0.00034	-0.46696	-0.46786	0.05864	-0.31716	-0.55486	-0.72256
CDK14	0.27453	0.74813	0.03273	0.22023	-0.06787	-0.35497	0.92223	0.03453	0.23793	-0.37157	-0.27557	0.08563	0.54993	-0.77757	0.48713	0.28273	-0.70977	-1.17457	0.24303	-1.17427	-0.31577	0.46413	-0.93137	-1.00927	-0.43447	-0.86227	-0.37737	-0.39977	-0.27207	-0.41177	-0.22967	-0.32307	0.21613	-0.38187	0.93473	0.95093	-0.43627	0.31513	-0.27547	1.00523	-0.90847	-0.64757	-0.36637	-1.20227	-0.29047	-0.79487	-1.02797	-0.40647	0.84143	-0.90667	-0.55357	-1.16657	-0.68227	-0.46757	-0.11137	-0.36747	-0.55837	0.31813	0.46283	-0.87697	0.19583	-0.05767	0.34583	-0.61607	-0.54697	-0.71857	-0.43017	0.59703	-0.27517	-0.29897	-0.89707	-0.97547	0.66643	-0.02447	-0.68717	-0.19387	1.31393	2.97203	0.25133	2.41463	0.95563	0.68243	-0.06207	0.07923	0.22033	-0.29687	0.35013	-0.41147	-0.45407	0.13033	0.26963	-0.77927	-0.87207	-0.23937	-0.21907	0.07243	-0.53307	0.06543	0.72233	1.53003	1.16743	0.23693	0.31913	0.85933	0.85003	0.42593	1.08773	1.37403	2.20513	0.84713	-0.13617	-0.26287	-0.29157	-0.34427	-0.19347	-1.29307	-1.14187	0.01183	-1.15447	0.24313	-0.42967	-1.13727	-0.44387	-0.25777	0.80683	1.25633	0.73803	-0.09697	2.08603	1.92363	3.86643	1.79263	3.31233	1.91063	2.10503	2.88513	2.87343	2.58913	3.77773	3.72493	2.33903	3.31723	2.25633	2.29123	2.80693	2.73383	2.17073	2.19773	-0.42387	0.03133	-0.40907	-1.07937	-1.06147	-1.16297	-0.95777	-0.75307	-1.01157	-0.87677	-1.18607	-1.04497	-0.26027	-1.02227	-0.83537	0.21433	-0.66047	-1.07877	-0.27557	-0.52477	-0.42077	-0.89147	-0.32677	-0.38767	-0.67957	-1.04747	-0.57027	-0.76707	-0.63727	-0.73827	-1.16157	-0.85747	-1.18897	-1.02597	-1.04247	-0.44397	-0.43027	-0.82007	-0.85607	-1.08037	-1.56467	-1.03887	-0.13857	-0.51787	-1.19127	-1.21727	-1.03557	-1.42257	-0.99507	-0.09817	-0.53777	-1.27507	-0.86387	-0.78707	-0.54807	-0.98407	-0.03217	-0.60837	-0.95857	-0.56377	-0.88977	-1.24257	-0.91267
COBLL1	0.46324	-0.11336	-0.12296	0.30754	-0.13226	0.32354	0.55634	0.14924	0.40624	-0.18836	0.42264	-0.03986	-0.06386	0.46974	0.02064	-0.52166	-0.10666	-0.02196	-0.13866	-0.36546	-0.60246	-0.17526	-0.48966	-0.37796	-0.32416	-0.35036	-0.06026	-0.80176	-0.61986	-0.14796	-0.09356	-0.30576	-0.49636	-0.46206	0.48494	-0.28866	-0.40416	-0.53326	-0.58986	-0.47946	-0.29536	1.35364	-0.02806	-0.30796	-0.20036	0.07354	0.85894	0.09414	0.57704	0.18854	0.11254	-0.44606	0.90604	0.37944	1.08364	0.34514	0.13394	0.63314	0.25264	0.50764	0.06544	-0.13156	-0.22496	-0.30516	-0.34676	0.16024	-0.19656	0.02274	-0.17146	-0.37386	-0.35546	-0.42566	0.75794	-0.38796	-0.57906	-0.26866	0.12564	0.88094	0.06004	0.72874	-0.10396	-0.15716	-0.70136	-0.76626	-0.67706	-0.77996	-0.32856	-0.92976	-1.01226	-0.29076	-0.73676	0.08724	-0.53256	-0.79386	-0.97256	-0.49446	-0.90276	-0.42586	0.14744	0.70754	0.89664	1.23504	0.37414	0.44844	0.75724	0.24034	0.64624	0.17894	1.00574	-0.73716	-0.89016	-0.67636	-0.67866	-0.40996	2.70384	1.34784	0.66764	2.64284	1.03814	0.05394	-0.25706	-0.17916	-0.12656	-0.30306	0.32354	0.43434	-0.21226	-0.22836	1.37024	1.40754	3.08014	2.10844	2.63284	2.12054	1.78964	2.96174	3.27564	2.17464	3.44914	2.12264	1.41694	2.70204	1.49474	1.84424	1.44084	1.80204	2.04174	2.17834	-0.53466	-0.72906	-0.88416	-0.35696	-0.75796	-0.61806	-0.78846	-0.72676	-0.72296	-0.53656	-0.52966	-0.45176	-0.49436	-0.42076	0.01224	-0.73956	-0.18406	-0.41976	-0.09386	-0.31126	-0.83016	-0.75276	-0.65026	-0.71046	-0.91206	-0.93546	-0.92136	-0.88676	-0.91096	-0.66306	-0.88216	-0.81236	-0.81006	-1.00636	-0.67896	-0.32956	-0.36166	-0.74956	-0.73576	-0.93876	-1.37256	-0.74276	-0.59386	-0.44856	-0.70906	-0.88866	-0.69416	-0.91136	-0.85046	-0.71726	-0.10506	-1.16006	-0.96826	-1.05796	-0.92626	-0.74176	-0.37346	-0.07716	-1.14576	-0.88506	-0.61076	-0.93176	-0.81056
PRKCE	0.41748	-0.62522	-0.52712	-0.47352	-0.17382	-0.13592	-0.20012	-0.60002	-0.14812	-0.51932	-0.52312	-0.23912	-0.49202	0.12248	-0.19672	-0.00942	0.08518	-0.20352	-0.47012	-0.55882	-0.61592	-0.46952	-0.25782	-0.60992	-0.65402	-0.56352	-0.19582	-0.38262	-0.25512	-0.32412	-0.08902	-0.68752	-0.56832	-0.40262	0.86778	-0.59852	-0.50092	-0.34382	-0.70362	-0.49212	-0.28752	-0.25712	0.34758	-0.45842	0.00588	-0.03992	-0.41202	0.65538	-0.02692	-0.16462	0.02628	-0.68522	-0.59482	-0.20902	-0.12072	0.12968	-0.34402	0.39538	-0.00932	-0.52402	-0.22342	-0.03162	-0.46772	-0.64532	-0.37442	-0.03192	-0.32112	0.59128	-0.24252	-0.24662	-0.13762	-0.33542	0.84838	-0.30202	-0.45002	-0.22062	0.23918	0.71208	-0.25272	1.91888	0.02058	0.03448	-0.40532	-0.51422	-0.48482	-0.55492	-0.28592	0.19118	-0.24382	-0.39932	-0.05082	-0.15842	-0.12652	-0.47852	-0.36682	-0.29402	-0.24862	-0.29492	0.47288	0.31178	0.25368	0.12748	0.22568	0.03918	0.20418	0.55148	0.29688	-0.19482	1.17658	0.59508	-0.31882	-0.35102	-0.22882	-0.34802	-0.16432	-0.36532	-0.49922	-0.15682	0.42988	-0.13002	0.30778	0.28708	-0.19712	0.03838	0.18678	0.24408	0.43568	-0.28062	1.92318	1.78978	3.84538	2.03478	2.90938	1.59128	1.82088	1.96498	3.14938	2.01978	1.68708	1.85978	0.72078	1.77268	0.64778	0.81768	1.47308	0.88388	0.57378	1.11108	-0.04212	-0.08822	0.04678	-0.08982	-0.40652	-0.38542	-0.26262	-0.41222	-0.54122	-0.62352	-0.48102	-0.21892	0.30018	-0.51852	-0.35302	0.15148	-0.54072	0.01218	0.04828	-0.20682	-0.43502	-0.32192	-0.40192	-0.11062	-0.39022	-0.60782	-0.40342	-0.55052	-0.64652	-0.45942	-0.47712	-0.47392	-0.39742	0.02728	-0.42422	-0.12422	-0.13912	-0.29532	0.34608	-0.56672	0.05168	-0.23302	-0.18952	-0.23082	-0.05642	-0.37692	-0.41132	-0.32122	-0.45972	-0.22902	-0.05522	-0.39952	-0.24492	-0.24102	-0.26112	-0.51912	0.19748	-0.08592	-0.38742	0.01128	-0.56232	-0.06602	-0.48722
OSBPL10	-0.35449	-1.02789	-1.01589	-0.49769	-0.61829	-0.38989	-0.64449	-0.25079	-0.20229	-0.79819	-0.74279	-0.68329	-1.06099	-0.65239	-0.50839	-0.17799	-0.47259	0.08371	-0.65169	-0.63199	-0.87989	-0.37619	-0.17579	-0.69669	-0.18369	-0.33039	-0.60979	-0.93059	0.26281	-0.32899	-0.43089	-0.40979	-0.55499	-0.86539	-0.11899	-0.45149	0.04771	-0.06329	-0.39869	-0.86649	-0.31219	-0.05539	-0.64479	-0.90099	-0.05139	0.06971	-0.72569	-0.66219	0.21741	0.24901	-0.26169	0.05531	-0.53119	-0.66349	-0.01449	-0.48739	-0.12929	-0.53949	0.12811	-0.50509	-0.20269	-0.07819	0.17641	-0.57839	-0.29269	-0.48639	-0.44049	-0.27559	0.12021	0.09801	-0.69689	0.13411	0.42881	-0.73599	-0.50719	-0.47759	1.72411	1.62221	0.52261	2.10691	0.92321	1.25091	-0.95429	-0.49219	-0.21129	-0.65599	-0.98749	-1.21259	-0.73869	-0.96129	-0.81709	-0.13419	-0.67599	-0.69869	-1.04179	-0.83129	-0.62849	-0.41019	1.80211	1.86621	1.57371	0.03721	-0.41309	0.47571	1.30851	1.44581	2.10821	1.54021	2.39171	-0.64669	-0.89029	-0.68899	-0.55359	-0.12069	-0.31659	-0.26879	-0.18729	-0.37229	-0.00369	-0.20799	0.20301	-0.38119	0.13731	-0.11129	0.64191	1.23421	0.61911	0.14821	1.78831	1.54801	3.99151	1.51381	2.62991	2.46361	2.27801	3.97271	2.99971	2.04701	3.43851	2.67821	2.17961	2.43581	1.85561	2.41941	3.02931	2.80871	1.98531	2.33351	-0.51149	-0.62359	-0.83659	-0.09679	-0.61669	-0.70069	-0.74629	-0.58519	-0.48169	-0.20119	-0.75279	0.16421	-0.42459	-0.10669	0.24431	-0.70769	-0.68549	-0.34309	0.08451	0.01541	-0.66439	-0.79379	-1.12389	-0.57709	-0.46379	-0.44059	-0.63509	-0.25759	-0.81489	-0.30079	-0.82429	-0.78559	-0.78589	-0.52989	-0.53519	-0.40459	-0.32239	-0.26299	-0.44189	-0.40329	-0.66329	0.05321	-0.35819	-0.47239	-0.50219	-0.89959	-0.51049	-0.60059	-0.68699	-0.41039	0.00751	-0.85549	-0.64539	-0.49769	-0.38839	-0.63099	-1.01589	0.05621	-0.23489	-0.02769	-0.47489	-0.25149	-0.93569
